WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.7371095167 -43.8810649),143532,1780825,39981,"40 Lane Street, Allenton, Ashburton",40,40,,Lane Street,Allenton,Ashburton District,Lane Street,"40 Lane Street, Allenton, Ashburton",Allenton,171.73710951700002,-43.8810649
POINT (171.7378443667 -43.8795610167),143591,1780716,319246,"62 Farm Road, Allenton, Ashburton",62,62,,Farm Road,Allenton,Ashburton District,Farm Road,"62 Farm Road, Allenton, Ashburton",Allenton,171.737844367,-43.8795610167
POINT (171.7448383167 -43.8862099833),143675,1780738,47244,"10 Osborn Grove, Allenton, Ashburton",10,10,,Osborn Grove,Allenton,Ashburton District,Osborn Grove,"10 Osborn Grove, Allenton, Ashburton",Allenton,171.74483831700002,-43.8862099833
POINT (171.7389672333 -43.8885121333),143778,1780780,38947,"15 Allens Road, Allenton, Ashburton",15,15,,Allens Road,Allenton,Ashburton District,Allens Road,"15 Allens Road, Allenton, Ashburton",Allenton,171.73896723299998,-43.8885121333
POINT (171.7416742 -43.8884817167),143877,1780736,35369,"22 Allison Street, Allenton, Ashburton",22,22,,Allison Street,Allenton,Ashburton District,Allison Street,"22 Allison Street, Allenton, Ashburton",Allenton,171.74167419999998,-43.8884817167
POINT (171.7407818 -43.8913989833),143901,1780727,37386,"24 Baker Street, Allenton, Ashburton",24,24,,Baker Street,Allenton,Ashburton District,Baker Street,"24 Baker Street, Allenton, Ashburton",Allenton,171.7407818,-43.8913989833
POINT (171.7440068167 -43.8905537667),144137,1780806,35897,"52 Cross Street, Allenton, Ashburton",52,52,,Cross Street,Allenton,Ashburton District,Cross Street,"52 Cross Street, Allenton, Ashburton",Allenton,171.744006817,-43.8905537667
POINT (171.7434133667 -43.9020102167),144555,3024935,40749,"53 Short Street, Ashburton",53,53,,Short Street,Ashburton,Ashburton District,Short Street,"53 Short Street, Ashburton",Ashburton,171.74341336700002,-43.9020102167
POINT (171.7390427667 -43.9544159833),144718,3002595,29941,"308 Gartartan Road, Willowby",308,308,,Gartartan Road,Willowby,Ashburton District,Gartartan Road,"308 Gartartan Road, Willowby",Willowby,171.739042767,-43.9544159833
POINT (171.7464534667 -43.76020455),144750,1780960,35198,"685 Winchmore Lauriston Road, Lauriston",685,685,,Winchmore Lauriston Road,Lauriston,Ashburton District,Winchmore Lauriston Road,"685 Winchmore Lauriston Road, Lauriston",Lauriston,171.746453467,-43.76020455
POINT (171.74597945 -43.8849451333),144771,1780705,54827,"116 Middle Road, Allenton, Ashburton",116,116,,Middle Road,Allenton,Ashburton District,Middle Road,"116 Middle Road, Allenton, Ashburton",Allenton,171.74597945,-43.8849451333
