address,boolean
"16 Hillview Place, Pleasant Point ",Request timed out
"24 Pringle Street, Waimataitai, Timaru ",Request timed out
"11 Wilson Street, Seaview, Timaru ",Request timed out
"14 Grey Road, Timaru ",Request timed out
"11 Browning Street, Winchester ",Request timed out
"94 Stafford Street, Timaru ",Request timed out
"365 Pleasant Valley Road, Geraldine ",Request timed out
"174 Opihi Terrace Road, Waitohi ",Request timed out
"12 Waipori Place, Glenwood, Timaru ",Request timed out
"27 Pukatea Street, Glenwood, Timaru ",Request timed out
"16 Cornwall Street, Watlington, Timaru ",Request timed out
"9 Randwick Place, Washdyke, Timaru ",Request timed out
"53 Hassall Street, Parkside, Timaru ",Request timed out
"24 Taylor Street, Geraldine ",Request timed out
"19 Stewart Road, Orari ",Request timed out
"10 Mellish Street, Rangitata ",Request timed out
"451 Timaru-Temuka Highway, Levels ",Request timed out
"11A Morgans Road, Glenwood, Timaru ",Request timed out
"14 Grosvenor Grange, Gleniti, Timaru ",Request timed out
"20 Gualter Road, Kakahu ",Request timed out
"52 Lookout Road, Peel Forest ",Request timed out
"5 North Terrace Road, Geraldine ",Request timed out
"126 Tiplady Road, Geraldine Flat ",Request timed out
"15 Hawkey Street, Kensington, Timaru ",Request timed out
"36 Marston Road, Kensington, Timaru ",Request timed out
"53 Wilkin Street, Temuka ",Request timed out
"60 Princes Street, Temuka ",Request timed out
"26 Seddon Street, Temuka ",Request timed out
"41 Cain Street, Parkside, Timaru ",Request timed out
"8 Harris Street, Geraldine ",Request timed out
"1B Wilmshurst Road, Temuka ",Request timed out
"356 Claremont Road, Claremont ",Request timed out
"139 Main Road, Pleasant Point ",Request timed out
"22 Harris Street, Pleasant Point ",Request timed out
"22 Halstead Road, Pleasant Point ",Request timed out
"221 Driscoll Road, Levels Valley ",Request timed out
"24 Maltby Avenue, West End, Timaru ",Request timed out
"24 Regent Street, West End, Timaru ",Request timed out
"28 Somerset Street, Watlington, Timaru ",Request timed out
"29 Sefton Street, Seaview, Timaru ",Request timed out
"76 Church Street, Seaview, Timaru ",Request timed out
"151 Main North Road, Orari Bridge ",Request timed out
"12 Maling Street, Geraldine ",Request timed out
"17 Maling Street, Geraldine ",Request timed out
"714 Timaru-Temuka Highway, Kerrytown ",Request timed out
"36 Turnbull Street, Timaru ",Request timed out
"33 Cass Street, Temuka ",Request timed out
"151 Temuka-Orari Highway, Winchester ",Request timed out
"11 St Leonards Road, Temuka ",Request timed out
"16 Mere Mere Street, Seaview, Timaru ",Request timed out
"4/12 Douglas Street, Highfield, Timaru ",Request timed out
"1/6 Trafalgar Street, Maori Hill, Timaru ",Request timed out
"3 Hawthorn Place, Gleniti, Timaru ",Request timed out
"10 Roxburgh Street, Glenwood, Timaru ",Request timed out
"10 Hinau Place, Glenwood, Timaru ",Request timed out
"19 Rocky Hundreds Road, Fairview ",Request timed out
"55 Kelvin Street, Marchwiel, Timaru ",Request timed out
"61 Andrew Street, Marchwiel, Timaru ",Request timed out
"11 St Johns Avenue, Highfield, Timaru ",Request timed out
"20 Marchwiel Street, Marchwiel, Timaru ",Request timed out
"31 Brenda Street, Kensington, Timaru ",Request timed out
"19 Strathallan Street, Timaru ",Request timed out
"16 Rothwell Street, Redruth, Timaru ",Request timed out
"17 Donald Street, Temuka ",Request timed out
"26 Princes Street, Temuka ",Request timed out
"14 Maddren Street, Winchester ",Request timed out
"41 Hislop Street, Geraldine ",Request timed out
"2/5 Harper Street, Parkside, Timaru ",Request timed out
"78 Kerrytown Road, Kerrytown ",Request timed out
"14 Rimu Street, Highfield, Timaru ",Request timed out
"52 Rathmore Street, West End, Timaru ",Request timed out
"34 Ascot Street, Washdyke, Timaru ",Request timed out
"41 Beverley Road, Maori Hill, Timaru ",Request timed out
"25 Market Street, Watlington, Timaru ",Request timed out
"34 William Street, Parkside, Timaru ",Request timed out
"37 Maude Street, Temuka ",Request timed out
"24 Davey Road, Milford ",Request timed out
"48 Guscott Road, Pareora West ",Request timed out
"84 Manse Road, Pleasant Point ",Request timed out
"12 Maryburn Place, Gleniti, Timaru ",Request timed out
"12 Hawea Street, Glenwood, Timaru ",Request timed out
"10A Campbell Street, Maori Hill, Timaru ",Request timed out
"36A Newton Street, Watlington, Timaru ",Request timed out
"206 Pages Road, Marchwiel, Timaru ",Request timed out
"1/19A Evans Street, Maori Hill, Timaru ",Request timed out
"11 Bristol Street, Pareora ",Request timed out
"19 Maltby Avenue, West End, Timaru ",Request timed out
"25 Rolleston Street, Watlington, Timaru ",Request timed out
"44 Coonoor Road, Watlington, Timaru ",Request timed out
"6 Peel Street, Geraldine ",Request timed out
"109 Talbot Street, Geraldine ",Request timed out
"177 Talbot Street, Geraldine ",Request timed out
"13 Hobbs Street, Waimataitai, Timaru ",Request timed out
"11 Cain Street, Parkside, Timaru ",Request timed out
"18 Matilda Street, Seaview, Timaru ",Request timed out
"11 Richards Place, Kensington, Timaru ",Request timed out
"34 Grey Road, Timaru ",Request timed out
"148 Beeby Road, Orari ",Request timed out
"259 King Street, Temuka ",Request timed out
"35 Birkett Street, Temuka ",Request timed out
"25 Hamilton Street, Temuka ",Request timed out
"17 Bridge Street, Temuka ",Request timed out
"20 Cardiff Street, Marchwiel, Timaru ",Request timed out
"111 Mowat Road, Hazelburn ",Request timed out
"13 Te Ngawai Road, Pleasant Point ",Request timed out
"12 MacAulay Street, Gleniti, Timaru ",Request timed out
"42 Hopkins Street, Gleniti, Timaru ",Request timed out
"295 Wai-Iti Road, Glenwood, Timaru ",Request timed out
"30 Kowhai Street, Highfield, Timaru ",Request timed out
"10 Ranfurly Street, West End, Timaru ",Request timed out
"14 Maltby Avenue, West End, Timaru ",Request timed out
"73 Coonoor Road, Watlington, Timaru ",Request timed out
"19 Royal Street, Kensington, Timaru ",Request timed out
"40 Catherine Street, Parkside, Timaru ",Request timed out
"24 Maddren Street, Winchester ",Request timed out
"4/95 Avenue Road, West End, Timaru ",Request timed out
"50 Sheffield Street, Washdyke, Timaru ",Request timed out
"6 North Town Belt, Temuka ",Request timed out
"34 Greig Street, Pleasant Point ",Request timed out
"11 Willow Place, Gleniti, Timaru ",Request timed out
"123 Orbell Street, Glenwood, Timaru ",Request timed out
"16 Waitaki Street, Glenwood, Timaru ",Request timed out
"7 Tekapo Street, Glenwood, Timaru ",Request timed out
"266 Beaconsfield Road, Fairview ",Request timed out
"16 Hartley Crescent, Marchwiel, Timaru ",Request timed out
"24 Marchwiel Street, Marchwiel, Timaru ",Request timed out
"12 Guthrie Street, West End, Timaru ",Request timed out
"15 Harborough Street, Watlington, Timaru ",Request timed out
"23 Darby Street, Geraldine ",Request timed out
"38 Bouverie Street, Waimataitai, Timaru ",Request timed out
"10A Te Weka Street, Maori Hill, Timaru ",Request timed out
"23 Harper Street, Parkside, Timaru ",Request timed out
"43 Main North Road, Geraldine ",Request timed out
"5 John Street, Temuka ",Request timed out
"47 Beeby Road, Orari ",Request timed out
"14 Matai Street, Pleasant Point ",Request timed out
"10 Harris Street, Pleasant Point ",Request timed out
"50 Kabul Street, Pleasant Point ",Request timed out
"81 Opihi Terrace Road, Waitohi ",Request timed out
"26 Huxley Street, Gleniti, Timaru ",Request timed out
"151 Morgans Road, Marchwiel, Timaru ",Request timed out
"17 Lachlan Place, Marchwiel, Timaru ",Request timed out
"18 Rolleston Street, Watlington, Timaru ",Request timed out
"26 Grasmere Street, Waimataitai, Timaru ",Request timed out
"14 Cain Street, Parkside, Timaru ",Request timed out
"29 Mowbray Street, Watlington, Timaru ",Request timed out
"9 Shaw Street, Redruth, Timaru ",Request timed out
"19 Hunt Street, Seaview, Timaru ",Request timed out
"47 Cass Street, Temuka ",Request timed out
"20 Catherine Street, Parkside, Timaru ",Request timed out
"15 Hall Street, Timaru Port, Timaru ",Request timed out
"7 Hunter Hills Drive, Gleniti, Timaru ",Request timed out
"3 Coles Street, Geraldine ",Request timed out
"11 Grange Close, Marchwiel, Timaru ",Request timed out
"26 Matai Street, Pleasant Point ",Request timed out
"416 Landsborough Road, Otipua Creek ",Request timed out
"14 Konini Street, Gleniti, Timaru ",Request timed out
"211 Geraldine-Fairlie Highway, Geraldine Flat ",Request timed out
"10 Morgans Road, Glenwood, Timaru ",Request timed out
"16 Elloughton Crescent, Marchwiel, Timaru ",Request timed out
"28 Stenhouse Drive, Marchwiel, Timaru ",Request timed out
"44 Kitchener Square, Highfield, Timaru ",Request timed out
"11 Craigie Road, Pareora ",Request timed out
"27 Marchwiel Street, Marchwiel, Timaru ",Request timed out
"57 Hobbs Street, Waimataitai, Timaru ",Request timed out
"17 Maltby Avenue, West End, Timaru ",Request timed out
"184A Otipua Road, West End, Timaru ",Request timed out
"13 Randwick Place, Washdyke, Timaru ",Request timed out
"2 Andrew Street, Waimataitai, Timaru ",Request timed out
"43 Woodlands Road, Parkside, Timaru ",Request timed out
"47 Campbell Street, Geraldine ",Request timed out
"7 Williamson Place, Geraldine ",Request timed out
"37 Marston Road, Kensington, Timaru ",Request timed out
"39 Hamilton Street, Temuka ",Request timed out
"38 Ward Road, Milford ",Request timed out
"3/35 Thomas Street, Temuka ",Request timed out
"253 Milford Lagoon Road, Milford ",Request timed out
"47 MacAulay Street, Gleniti, Timaru ",Request timed out
"13 Balmoral Street, Marchwiel, Timaru ",Request timed out
"2 Hillsden Place, Glenwood, Timaru ",Request timed out
"27 Grange Close, Marchwiel, Timaru ",Request timed out
"27 Grasmere Street, Waimataitai, Timaru ",Request timed out
"43 Maltby Avenue, West End, Timaru ",Request timed out
"18 Flemington Street, Washdyke, Timaru ",Request timed out
"10 Cameron Street, Seaview, Timaru ",Request timed out
"11 Nelson Terrace, Seaview, Timaru ",Request timed out
"12 Wilson Street, Seaview, Timaru ",Request timed out
"22 Harper Street, Parkside, Timaru ",Request timed out
