,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
63333,Marlborough,Marlborough,30-May-18,MbBC180728,Renata Road Okiwi Bay Marlborough,Renata Road,Okiwi Bay,,,,,"$476,900.00 ",dwelling with log fire/wastewater system
63335,Marlborough,Marlborough,30-May-18,MbBC180694,14 Temple Mews Renwick Marlborough,14 Temple Mews,Renwick,,,,,"$398,000.00 ",dwelling with attached garage/log fire
63337,Marlborough,Marlborough,30-May-18,MbBC180680,4 Harvard Road Blenheim Marlborough,4 Harvard Road,Blenheim,,,,,"$350,000.00 ",dwelling with attached garage/log fire blenheim
63340,Marlborough,Marlborough,30-May-18,MbBC180617,6 Nanchang Road Blenheim Marlborough,6 Nanchang Road,Blenheim,,,,,"$270,000.00 ",dwelling with attached garage & free-standing masport f3000 log fire
63341,Marlborough,Marlborough,30-May-18,MbBC180574,19 Rush Lane Canvastown Marlborough,19 Rush Lane,Canvastown,,,,,"$250,000.00 ",dwelling with free-standing woodsman brunner log fire & two bay shed
63343,Marlborough,Marlborough,30-May-18,MbBC180662,88 A Murphys Road Blenheim Marlborough,88 A Murphys Road,Blenheim,,,,,"$240,000.00 ",dwelling with attached garage/free standing log fire
63356,Marlborough,Marlborough,30-May-18,MbBC180566,920 Queen Charlotte Drive Linkwater Marlborough,920 Queen Charlotte Drive,Linkwater,,,,,"$97,500.00 ",dwelling with free-standing metro wee rad log fire & on- site wastewater management system
63384,Marlborough,Marlborough,30-May-18,MbBC180642,16 Pitchill Street Blenheim Marlborough,16 Pitchill Street,Blenheim,,,,,"$18,000.00 ",dwelling alteration & extension with free-standing woodsman ecr novo log fire
63399,Marlborough,Marlborough,30-May-18,MbBC180718,265 Kaiuma Bay Road Kaiuma Marlborough,265 Kaiuma Bay Road,Kaiuma,,,,,"$6,570.00 ",free standing firenzo lady kitchener ru legs log fire
63400,Marlborough,Marlborough,30-May-18,MbBC180709,107 Dry Hills Lane Riverlands Marlborough,107 Dry Hills Lane,Riverlands,,,,,"$6,500.00 ",free standing jayline ul200 log fire
63401,Marlborough,Marlborough,30-May-18,MbBC180721,80 Scott Street Blenheim Marlborough,80 Scott Street,Blenheim,,,,,"$6,113.00 ",inbuilt firenzo forte bay log fire
63402,Marlborough,Marlborough,30-May-18,MbBC180715,92 Main Road Havelock Marlborough,92 Main Road,Havelock,,,,,"$6,100.00 ",free standing pyroclassic iv log fire
