WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.0434449333 -44.7340533),121602,1783512,50890,"76 Shearman Street, Waimate",76,76,,Shearman Street,Waimate,Waimate District,Shearman Street,"76 Shearman Street, Waimate",Waimate,171.043444933,-44.7340533
POINT (171.0387363 -44.7419689833),121674,1787411,35327,"12 Pitman Place, Waimate",12,12,,Pitman Place,Waimate,Waimate District,Pitman Place,"12 Pitman Place, Waimate",Waimate,171.0387363,-44.7419689833
POINT (171.0427637 -44.7352701833),121682,1782156,41318,"13 Dash Street, Waimate",13,13,,Dash Street,Waimate,Waimate District,Dash Street,"13 Dash Street, Waimate",Waimate,171.0427637,-44.7352701833
POINT (171.0414251667 -44.7351315333),121692,1783582,35005,"15 Browns Avenue, Waimate",15,15,,Browns Avenue,Waimate,Waimate District,Browns Avenue,"15 Browns Avenue, Waimate",Waimate,171.041425167,-44.7351315333
POINT (171.0379086833 -44.7411884333),121726,3015409,360783,"191 Queen Street, Waimate",191,191,,Queen Street,Waimate,Waimate District,Queen Street,"191 Queen Street, Waimate",Waimate,171.03790868299998,-44.741188433299996
POINT (171.0443203667 -44.7379703667),121853,1783571,47896,"6 William Street, Waimate",6,6,,William Street,Waimate,Waimate District,William Street,"6 William Street, Waimate",Waimate,171.044320367,-44.7379703667
POINT (171.0468660667 -44.7263224833),121932,1782123,40315,"10 Durham Street, Waimate",10,10,,Durham Street,Waimate,Waimate District,Durham Street,"10 Durham Street, Waimate",Waimate,171.046866067,-44.7263224833
POINT (171.0462855167 -44.7326708667),122178,1783512,50887,"37 Shearman Street, Waimate",37,37,,Shearman Street,Waimate,Waimate District,Shearman Street,"37 Shearman Street, Waimate",Waimate,171.046285517,-44.7326708667
POINT (171.0451340167 -44.7268356667),122246,1782134,46293,"59 Parsonage Road, Waimate",59,59,,Parsonage Road,Waimate,Waimate District,Parsonage Road,"59 Parsonage Road, Waimate",Waimate,171.045134017,-44.7268356667
POINT (171.0496540667 -44.7350181667),122377,1782341,31778,"11 Paul Street, Waimate",11,11,,Paul Street,Waimate,Waimate District,Paul Street,"11 Paul Street, Waimate",Waimate,171.049654067,-44.7350181667
