,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
13582,,Christchurch ,26/03/15,C2015/2565,82 Malvern Street St Albans   Christchurch ,82 Malvern Street,St Albans, ,Pt Lot 10 DP 9731,"4,500",dwelling alteration - installation of firenzo forte flush insert dry wood burner cac090133
13583,,Christchurch ,26/03/15,C2015/2475,61 Stanton Crescent Hoon Hay   Christchurch ,61 Stanton Crescent,Hoon Hay, ,Lot 56 DP 27887,"4,500",dwelling alteration - installation of firenzo lady kitchener ag08 free standing dry woodburner cac 093220
13584,,Christchurch ,26/03/15,C2015/2378,43 Aylesford Street St Albans   Christchurch ,43 Aylesford Street,St Albans, ,Lot 1 DP 69763,"4,500",dwelling alterations - installation of masport i3000 insert dry woodburner - cac103869
13586,,Christchurch ,26/03/15,C2015/1205,670 Avonside Drive Avonside   Christchurch ,670 Avonside Drive,Avonside, ,Lot 1 DP 401168,"175,000","dwelling alterations - foundation replacement, internal alterations and repair and installation of a metro eco smart insert woodburner dry cac102411"
13591,,Christchurch ,26/03/15,C2015/1856,407 Sparks Road Halswell   Christchurch ,407 Sparks Road,Halswell, ,Lot 73 DP 332789,"4,900",dwelling alteration - metro eco smart wetback insert woodburner - cac102426
13601,,Christchurch ,26/03/15,C2015/2720,71 Spencer Street Addington   Christchurch ,71 Spencer Street,Addington, ,Flat 1 DP 66526 on Lot 35 DP 1152 having share in 582 m2,"4,500",dwelling alteration - installation of masport r5000 legs logburner freestanding wood cac 131295
13602,,Christchurch ,26/03/15,C2015/1908,153 Wainui Valley Road Wainui   Christchurch ,153 Wainui Valley Road,Wainui, ,Lot 4 DP 16129,"4,500",dwelling alteration - firenzo kompact ag dry insert woodburner - cac122076
13603,,Christchurch ,26/03/15,C2015/2646,1/118 Innes Road St Albans   Christchurch ,1/118 Innes Road,St Albans, ,Flat 1 DP 75651 on Lot 1 DP 74813 having share in 819 m2,"4,500",dwelling alterations - installation of woodsman tasman dry mkii freestanding woodburner cac142898
13604,,Christchurch ,26/03/15,C2015/2715,103 Panorama Road Clifton   Christchurch ,103 Panorama Road,Clifton, ,Lot 1 DP 26287,"4,500",dwelling alteration - warmington studio dry freestanding woodburner - cac071226
13605,,Christchurch ,26/03/15,C2015/2643,2/54 Amyes Road Hornby   Christchurch ,2/54 Amyes Road,Hornby, ,Flat 2 DP 72138 on Lot 31 DP 13550 having share in 911 m2,"4,500",dwelling alteration - metro eco wee ped dry freestanding woodburner - cac092976
