,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
65891,,Timaru,31/12/15,00542  2014,26 Julloch Road RD 22 Geraldine 7992  Timaru,26 Julloch Road,RD 22 Geraldine 7992,,SEC: 4 SUF: BLK XIX ORARI TSHIP BLK X GERALDINE SD,"4,000",dwelling alterations & relocate masport osburn 1600 freestanding woodburner
65892,,Timaru,31/12/15,01229  2015,105 Orakipaoa Island Road RD 26 Temuka 7986  Timaru,105 Orakipaoa Island Road,RD 26 Temuka 7986,,PS: 24,"2,500",install kent logfire inbuilt woodburner
65893,,Timaru,31/12/15,01210  2015,4 Hawthorn Place Timaru 7910  Timaru,4 Hawthorn Place,Timaru 7910,,Lot: 14 DP: 25576,"2,500",install woodsman tarras mkiii freestanding woodburner
65894,,Timaru,31/12/15,01316  2015,10 Waitaki Street Timaru 7910  Timaru,10 Waitaki Street,Timaru 7910,,Lot: 5 DP: 29764,"2,500",install metro xtreme ped freestanding woodburner
65895,,Timaru,31/12/15,01278  2015,336 Wai-iti Road Timaru 7910  Timaru,336 Wai-iti Road,Timaru 7910,,LOT: 2 DP: 436932,"2,500",install masport bannockburn inbuilt woodburner
65896,,Timaru,31/12/15,01277  2015,56 Elizabeth Street Timaru 7910  Timaru,56 Elizabeth Street,Timaru 7910,,Lot: 3 DP: 5079,"2,500",install masport r5000 ped freestanding woodburner
65897,,Timaru,31/12/15,01284  2015,22 Nikau Place Timaru 7910  Timaru,22 Nikau Place,Timaru 7910,,Lot: 18 DP: 23905,"2,500",install masport f3300c freestanding woodburner
65898,,Timaru,31/12/15,01301  2015,12 Memorial Avenue Timaru 7910  Timaru,12 Memorial Avenue,Timaru 7910,,SEC: 315,"2,500",install masport minos ii freestanding woodburner
65899,,Timaru,31/12/15,01321  2015,34 Hislop Street Geraldine 7930  Timaru,34 Hislop Street,Geraldine 7930,,Lot: 6 DP: 11327,"2,500",install metro eco wee rad freestanding woodburner
65900,,Timaru,31/12/15,01221  2015,4 Hertnon Street Timaru 7910  Timaru,4 Hertnon Street,Timaru 7910,,LOT: 5 DP: 7987,"2,500",install masport le4000 inbuilt woodburner
65901,,Timaru,31/12/15,01308  2015,76 Harper Street Timaru 7910  Timaru,76 Harper Street,Timaru 7910,,PLT: 15 DP: 816,"2,500",install woodsman tasmanii freestanding woodburner
65902,,Timaru,31/12/15,01291  2015,15A Marchwiel Street Timaru 7910  Timaru,15A Marchwiel Street,Timaru 7910,,Lot: 4 DP: 14777,"2,500",install pyroclassic iv freestanding woodburner
65903,,Timaru,31/12/15,01337  2015,99A Wai-iti Road Timaru 7910  Timaru,99A Wai-iti Road,Timaru 7910,,LOT: 3 DP: 43678,"2,500",install masport le4000 inbuilt woodburner
65904,,Timaru,31/12/15,01292  2015,1 Wrights Avenue Timaru 7910  Timaru,1 Wrights Avenue,Timaru 7910,,PLT: 1 DP: 6273,"2,500",install masport bannockburn12000 inbuilt woodburner
65905,,Timaru,31/12/15,01280  2015,12 Aynsley Street Timaru 7910  Timaru,12 Aynsley Street,Timaru 7910,,LOT: 63 DP: 573,"2,500",install masport r5000l freestanding woodburner
65906,,Timaru,31/12/15,01230  2015,24 Hayhurst Street Temuka 7920  Timaru,24 Hayhurst Street,Temuka 7920,,Sec: 261 Su: AROWHENUA                TN,"2,500",install masport r5000l freestanding woodburner
65907,,Timaru,31/12/15,01283  2015,10 Hinau Place Timaru 7910  Timaru,10 Hinau Place,Timaru 7910,,Lot: 1 DP: 29204,"2,500",install metro eco euro ped freestanding woodburner
65908,,Timaru,31/12/15,01306  2015,15A High Street Timaru 7910  Timaru,15A High Street,Timaru 7910,,SEC: 366 TN: TIMARU,"2,500",install metro eco extreme ped freestanding woodburner
65909,,Timaru,31/12/15,01260  2015,27 Preston Street Timaru 7910  Timaru,27 Preston Street,Timaru 7910,,LOT: 1 DP: 22103,"2,500",install woodsman tasman mkii freestanding woodburner
65910,,Timaru,31/12/15,01266  2015,26 Acacia Drive RD 3 Timaru 7973  Timaru,26 Acacia Drive,RD 3 Timaru 7973,,Lot: 2 DP: 26551,"2,500",install masport bannockburn inbuilt woodburner
65911,,Timaru,31/12/15,01252  2015,26 Hunt Street Timaru 7910  Timaru,26 Hunt Street,Timaru 7910,,Lot: 2 DP: 11474,"2,500",install woodsman aspen freestanding woodburner
65912,,Timaru,31/12/15,01279  2015,24 Archer Street Timaru 7910  Timaru,24 Archer Street,Timaru 7910,,LOT: 1 DP: 21397,"2,500",install woodsman brunner mkii freestanding woodburner
65913,,Timaru,31/12/15,01228  2015,11B Wilkin Street Temuka 7920  Timaru,11B Wilkin Street,Temuka 7920,,SEC: 174,"2,500",install woodsman ecr novo freestanding woodburner
65914,,Timaru,31/12/15,01247  2015,248 King Street Temuka 7920  Timaru,248 King Street,Temuka 7920,,Lot: 303 DP: 25,"2,500",install woodsman tarras mkiii freestanding woodburner
65915,,Timaru,31/12/15,01307  2015,154 North Street Timaru 7910  Timaru,154 North Street,Timaru 7910,,LOT: 1 DP: 18734,"2,500",install woodsman tarras mkiii freestanding woodburner
65916,,Timaru,31/12/15,01250  2015,411 Claremont Road RD 4 Timaru 7974  Timaru,411 Claremont Road,RD 4 Timaru 7974,,Lot: 1 DP: 74870,"2,500",install masport r1500 freestanding woodburner
65917,,Timaru,31/12/15,01275  2015,5 Gibson Street Timaru 7910  Timaru,5 Gibson Street,Timaru 7910,,Lot: 2 DP: 8476,"2,500",install masport bannockburn inbuilt woodburner
65918,,Timaru,31/12/15,01276  2015,1A Orbell Street Timaru 7910  Timaru,1A Orbell Street,Timaru 7910,,PLT: 1 DP: 3110,"2,500",install firenzo bronte freestanding woodburner
65919,,Timaru,31/12/15,01296  2015,48 Devon Street Timaru 7910  Timaru,48 Devon Street,Timaru 7910,,Lot: 5 DP: 19414,"2,500",install woodsman ecr novo freestanding woodburner
65920,,Timaru,31/12/15,01305  2015,3 Roxburgh Street Timaru 7910  Timaru,3 Roxburgh Street,Timaru 7910,,Lot: 5 DP: 27555,"2,500",install metro xtreme rad freestanding woodburner
65921,,Timaru,31/12/15,01248  2015,282 King Street Temuka 7920  Timaru,282 King Street,Temuka 7920,,Lot: 5 DP: 488,"2,500",install woodsman tarras mkiii freestanding woodburner
65922,,Timaru,31/12/15,01184  2015,63 Cox Street Geraldine 7930  Timaru,63 Cox Street,Geraldine 7930,,Lot: 2 DP: 43498,"2,500",install woodsman ecr novo freestanding woodburner
65923,,Timaru,31/12/15,01251  2015,5 William Street Timaru 7910  Timaru,5 William Street,Timaru 7910,,LOT: 6 DP: 2035,"2,500",install woodsman tasman mkii freestanding woodburner
65924,,Timaru,31/12/15,01263  2015,6 Totara Place Timaru 7910  Timaru,6 Totara Place,Timaru 7910,,Lot: 36 DP: 22634,"2,500",install woodsman totara inbuilt woodburner
65925,,Timaru,31/12/15,01295  2015,5 Hinau Place Timaru 7910  Timaru,5 Hinau Place,Timaru 7910,,Lot: 11 DP: 29204,"2,500",install woodsman aspen freestanding woodburner
65926,,Timaru,31/12/15,01242  2015,41 Dobson Street Timaru 7910  Timaru,41 Dobson Street,Timaru 7910,,Lot: 8 DP: 401658,"2,500",install masport le4000 inbuilt woodburner
65927,,Timaru,31/12/15,01261  2015,113 Domain Avenue Timaru 7910  Timaru,113 Domain Avenue,Timaru 7910,,LOT: 18 DP: 14009,"2,500",install firenzo athena bay inbuilt woodburner
65928,,Timaru,31/12/15,01302  2015,566 Winchester-Geraldine Road RD 21 Geraldine 7991  Timaru,566 Winchester-Geraldine Road,RD 21 Geraldine 7991,,Lot: 2 DP: 401922,"2,500",install masport r5000 freestanding woodburner
65955,,Upper Hutt,3/02/15,Uh150009,"33 Karapoti Road, Upper Hutt         Upper Hutt","33 Karapoti Road, Upper Hutt      ",,,,"5,000",fire unit: inbuilt woodburner-metro  
65966,,Upper Hutt,18/02/15,Uh140415,"8 Henry Street, Upper Hutt   Upper Hutt","8 Henry Street, Upper Hutt",,,,100,amendment: add freestanding woodburner 
65974,,Upper Hutt,27/02/15,Uh150032,"48 Kaitoke Loop Road, Upper Hu   Upper Hutt","48 Kaitoke Loop Road, Upper Hu",,,,"3,614",fire unit-freestanding woodburner-wagene
66023,,Upper Hutt,7/04/15,Uh150115,37 Elmslie Road   Upper Hutt,37 Elmslie Road,,,,"4,950",fire unit - free standing woodburner
66024,,Upper Hutt,7/04/15,Uh150116,2 Streets Way   Upper Hutt,2 Streets Way,,,,"4,000","fire unit - free standing woodburner 
"
66028,,Upper Hutt,10/04/15,Uh150142,1131 Akatarawa Road   Upper Hutt,1131 Akatarawa Road,,,,"5,000",fire unit:freestanding woodburner
66040,,Upper Hutt,15/04/15,Uh150129,7 Pempsey Street   Upper Hutt,7 Pempsey Street,,,,"5,000","fire unit - inbuilt woodburner jayline 
"
66041,,Upper Hutt,15/04/15,Uh150159,51 Elmslie Road   Upper Hutt,51 Elmslie Road,,,,"5,000",fire unit: inbuilt woodburner-bannockburn
66042,,Upper Hutt,15/04/15,Uh150160,87 Plateau Road   Upper Hutt,87 Plateau Road,,,,"5,000",fire unit: freestanding woodburner-fireno
66043,,Upper Hutt,15/04/15,Uh150168,43 Whitemans Road   Upper Hutt,43 Whitemans Road,,,,"5,000",fire unit - installation of an inbuilt woodburner
66044,,Upper Hutt,15/04/15,Uh150153,82 Pinehaven Road   Upper Hutt,82 Pinehaven Road,,,,"4,500",fire unit - installation of new r1500 masport woodfire
66045,,Upper Hutt,15/04/15,Uh150137,77 Barton Avenue   Upper Hutt,77 Barton Avenue,,,,"3,500",fire unit: inbuilt woodburner-woodsman
66046,,Upper Hutt,15/04/15,Uh150138,3 Brightwater Crescent   Upper Hutt,3 Brightwater Crescent,,,,"3,500",fire unit: freestanding woodburner-metro
66047,,Upper Hutt,15/04/15,Uh150155,46 Larchmont Grove   Upper Hutt,46 Larchmont Grove,,,,"3,500",fire unit - free standing woodfire masport
66048,,Upper Hutt,15/04/15,Uh150174,39 Clouston Park Road   Upper Hutt,39 Clouston Park Road,,,,"3,500",fire unit - masport r1500 freestanding woodburner
66050,,Upper Hutt,21/04/15,Uh150157,F1-13 Bentinck Street   Upper Hutt,F1-13 Bentinck Street,,,,"3,500",fire unit - installation of a free standing woodburner
66053,,Upper Hutt,24/04/15,Uh150176,46 Jocelyn Crescent   Upper Hutt,46 Jocelyn Crescent,,,,"5,000
","fire unit - pyroclassic freestanding woodburner
"
66059,,Upper Hutt,5/05/15,Uh150184,"74 Hikurangi Street, Upper Hut 
   Upper Hutt","74 Hikurangi Street, Upper Hut 
",,,,"4,000",firefire unit: inbuilt woodburner-metro eco unit: inbuilt woodburner-metro eco 
66065,,Upper Hutt,8/05/15,Uh150190,25 Field Street Upper Hutt   Upper Hutt,25 Field Street Upper Hutt,,,,"5,000",fire unit: inbuilt woodburner-jayline is
66075,,Upper Hutt,15/05/15,Uh150205,"21 Seymour Grove, Upper Hutt   Upper Hutt","21 Seymour Grove, Upper Hutt",,,,"3,000",fire unit: freestanding woodburner-masport
66081,,Upper Hutt,21/05/15,Uh150221,"4 Pempsey Street, Upper Hutt   Upper Hutt","4 Pempsey Street, Upper Hutt",,,,"3,500",fire unit: inbuilt woodburner-masport i3
66094,,Upper Hutt,4/06/15,U150241,1 Quartz Place   Upper Hutt,1 Quartz Place,,,,"4,500",fire unit:freestanding woodburner- masport 
66096,,Upper Hutt,5/06/15,U150247,24 Argyle Grove   Upper Hutt,24 Argyle Grove,,,,"3,500",fire unit-freestanding woodburner-masport
66100,,Upper Hutt,10/06/15,U150257,24 Stephen Street   Upper Hutt,24 Stephen Street,,,,"5,000", fire unit - kent geneva woodfire  
66102,,Upper Hutt,12/06/15,U150264,21 Kowhai Avenue Upper Hutt   Upper Hutt,21 Kowhai Avenue Upper Hutt,,,,"5,000",fire unit: freestanding woodburner-jayline
66111,,Upper Hutt,22/06/15,U150277,57 Chatsworth Road   Upper Hutt,57 Chatsworth Road,,,,"5,000","fire unit:freestanding woodburner-pyrocl
"
66122,,Upper Hutt,29/06/15,U150286,9 Byron Street   Upper Hutt,9 Byron Street,,,,"5,000",fire unit:freestanding woodburner-jayline
66126,,Upper Hutt,7/07/15,U150291,"37 Black Beech Street, Upper Hutt   Upper Hutt","37 Black Beech Street, Upper Hutt",,,,"4,000",fire unit - woodsman totara inbuilt woodburner
66131,,Upper Hutt,15/07/15,U150317,"6 Harvard Grove, Upper Hutt           Upper Hutt","6 Harvard Grove, Upper Hutt        ",,,,"2,500",fire unit: freestanding woodburner-woodsman
66136,,Upper Hutt,22/07/15,U150320,"20 Gillespies Road, Upper Hutt   Upper Hutt","20 Gillespies Road, Upper Hutt",,,,"1,800",fit wood fire
66137,,Upper Hutt,23/07/15,U150328,"137 Plateau Road, Upper Hutt         Upper Hutt","137 Plateau Road, Upper Hutt      ",,,,"3,000",fire unit: freestanding woodburner-woodman 
66141,,Upper Hutt,30/07/15,U150330,"39 Dowling Grove, Upper Hutt        Upper Hutt","39 Dowling Grove, Upper Hutt     ",,,,"4,000",fire unit -installation of a free standing woodburner
66142,,Upper Hutt,30/07/15,U150335,"37 Kowhai Ave, Upper Hutt                   Upper Hutt","37 Kowhai Ave, Upper Hutt                ",,,,"5,000",installation of a free standing woodburner
66146,,Upper Hutt,3/08/15,U150339,5 Camp Street   Upper Hutt,5 Camp Street,,,,"5,300",fire unit:inbuilt woodburner-firenzo kom
66164,,Upper Hutt,4/09/15,U150374,"60 Pinehaven Road, Upper Hutt          Upper Hutt","60 Pinehaven Road, Upper Hutt       ",,,,"4,800",fire unit: inbuilt woodburner-masport burner
66179,,Upper Hutt,28/09/15,U150406,"274B Fergusson Drive, Upper Hutt   Upper Hutt","274B Fergusson Drive, Upper Hutt",,,,"15,000",fire unit: inbuilt woodburner
66190,,Upper Hutt,12/10/15,U150424,6 Fendalton Crescent Upper Hutt  Upper Hutt,6 Fendalton Crescent,Upper Hutt,,,"3,000",fire unit:freestanding woodburner-ecr no
66194,,Upper Hutt,16/10/15,U150426,24 Granville Street Upper Hutt  Upper Hutt,24 Granville Street,Upper Hutt,,,"4,500",fire unit:freestanding woodburner-woodsm
66212,,Upper Hutt,13/11/15,U150485,20 Alleyne Court Upper Hutt    Upper Hutt,20 Alleyne Court,Upper Hutt  ,,,"4,200",fire unit: freestanding wood burner- woods
66272,,Waikato,15/01/15,Wk0701/15,589 Onewhero-Tuakau Bridge Rd Tuakau  Waikato,589 Onewhero-Tuakau Bridge Rd,Tuakau,,PT ALLOT 121 ONEWHERO PSH,"6,000",installation of wood fire into existing home
66303,,Waikato,2/02/15,Wk0796/15,576 Ruakura Road Ruakura  Waikato,576 Ruakura Road,Ruakura,,LOT 6 DPS 14267 BLKS III HAMILTON SD XV KOMAKORAU SD,"3,500",replacing existing pot belly with wood burner
66334,,Waikato,11/02/15,Wk0830/15,151 Rutherfurd Road Orini  Waikato,151 Rutherfurd Road,Orini,,ALLOT 731 PT ALLOTS 157 158 167 LOT 2 DPS 26887 TAUPIRI PSH 0BLK XII HAPUAKOHE SD,"5,000",installation of wood burner heater
66341,,Waikato,13/02/15,Wk0832/15,1004 Koheroa Rd Mercer  Waikato,1004 Koheroa Rd,Mercer,,LOT 1 DP 137321,"3,500",installation of a solid fuel heater
66351,,Waikato,17/02/15,Wk0884/15,51A Mason Road Whatawhata  Waikato,51A Mason Road,Whatawhata,,LOT 1 DP 354914 BLK III ALEXANDRA SD SUBJ TO ESMTS,"5,000",installation of wood fire/wetback
66354,,Waikato,17/02/15,Wk0888/15,110A Greenslade Road Raglan  Waikato,110A Greenslade Road,Raglan,,LOT 3 DPS 1034,"5,000",replace log fire with existing metro xtreme rad and wetback
66377,,Waikato,24/02/15,Wk0881/15,9 Centreway Rd Tuakau  Waikato,9 Centreway Rd,Tuakau,,LOT 21 DPS 8872,"3,000",installation of a solid fuel heater
66394,,Waikato,1/04/15,Wk1089/15,212 Bowman Road Whatawhata  Waikato,212 Bowman Road,Whatawhata,,LOT 1 DP 385668 BLK IV ALEXANDRA SD,"5,000",new solid fuel heater masport i2000 masonary insert
66397,,Waikato,1/04/15,Wk1016/15,461 Harrisville Rd Pukekohe  Waikato,461 Harrisville Rd,Pukekohe,,LOT 2 DP 145082,"5,000",masport mackenzie wood fire
66400,,Waikato,1/04/15,Wk1106/15,59 Wallis Street Raglan  Waikato,59 Wallis Street,Raglan,,LOT 4 DP 23657,"4,000",ecr novo wood burner
66401,,Waikato,1/04/15,Wk1073/15,32 Orini Road Taupiri  Waikato,32 Orini Road,Taupiri,,LOT 3 DPS 91823 SEC 1 SO 336340 BLK IV NEWCASTLE SD,"2,100",replacing existing wood burner with new kent wood burner
66405,,Waikato,2/04/15,Wk1022/15,70B Maxwell Road Maramarua  Waikato,70B Maxwell Road,Maramarua,,LOT 2 DP 312737,"7,000",wood burner with wetback
66419,,Waikato,8/04/15,Wk1024/15,140 Buckville Rd Pukekohe  Waikato,140 Buckville Rd,Pukekohe,,LOT 3 DP 112276,"4,000",masport r5000 rural ped wood fire
66422,,Waikato,9/04/15,Wk1137/15,8 Acacia Grove Tamahere  Waikato,8 Acacia Grove,Tamahere,,LOT 4 DPS 74797,"5,500",wood fire
66423,,Waikato,9/04/15,Wk1133/15,36 Galileo Street Ngaruawahia  Waikato,36 Galileo Street,Ngaruawahia,,PT SEC 126 NEWCASTLE TOWN,"5,000",woodsman solid fuel heater
66425,,Waikato,9/04/15,Wk1131/15,33A Glentui Lane Whatawhata  Waikato,33A Glentui Lane,Whatawhata,,LOT 7 DPS 87507 1/7 SH LOT 28 DPS 87507 1/26 SH IN LOTS 29 300 DPS 87507,"5,000",solid fuel heater
66427,,Waikato,9/04/15,Wk1045/15,13 Armitage Pl Tuakau  Waikato,13 Armitage Pl,Tuakau,,LOT 3 DP 430145,"4,000",installation of a solid fuel heater
66428,,Waikato,9/04/15,Wk1046/15,300C Pinnacle Hill Rd Bombay  Waikato,300C Pinnacle Hill Rd,Bombay,,LOT 7 DP 395578 LOT 2 DP 472602 SUBJ TO ESMT,"4,000",installation of a solid fuel heater
66430,,Waikato,9/04/15,Wk1136/15,19 Tutchen Avenue Raglan  Waikato,19 Tutchen Avenue,Raglan,,LOT 5 DPS 9045,"3,000",new kent wood fire
66431,,Waikato,9/04/15,Wk1129/15,53 Rosser Street Huntly  Waikato,53 Rosser Street,Huntly,,LOT 304 DPS 26577 NOT COVERED BY THE GOVERNMENT HUNTLY EAST 0LAND SUBSIDENCE POLICY,"3,000",flare  wood burner
66433,,Waikato,9/04/15,Wk1130/15,1734 Tahuna Road Te Hoe  Waikato,1734 Tahuna Road,Te Hoe,,LOT 3 DP 34439 BLK X HAPUAKOHE SD,"3,000",replacing wood burner
66434,,Waikato,9/04/15,Wk1041/15,155 Wily Rd Pukekohe  Waikato,155 Wily Rd,Pukekohe,,LOT 1 PT LOT 2 DP 111104,"3,000",installation of a solid fuel heater
66437,,Waikato,10/04/15,Wk1065/15,287 Wairamarama Onewhero Rd Tuakau  Waikato,287 Wairamarama Onewhero Rd,Tuakau,,LOT 4 DPS 60730,"3,000",installation of a woodfire
66447,,Waikato,14/04/15,Wk1157/15,4545 Highway 22 Te Akau  Waikato,4545 Highway 22,Te Akau,,ALLOT N198 LOT 1 OF ALLOT 221 PEPEPE PSH BLK XVI AWAROA SD,"5,000",wood burner
66448,,Waikato,14/04/15,Wk1164/15,4 Old Taupiri Road Ngaruawahia  Waikato,4 Old Taupiri Road,Ngaruawahia,,LOT 3 DPS 6889,"3,400",replace wood burner
66460,,Waikato,15/04/15,Wk1061/15,583 Onewhero-Tuakau Bridge Rd Tuakau  Waikato,583 Onewhero-Tuakau Bridge Rd,Tuakau,,LOT 5 DPS 52688,"3,000",installation of free standing woodfire
66498,,Waikato,22/04/15,Wk1126/15,88 Bluff Rd Pokeno  Waikato,88 Bluff Rd,Pokeno,,LOT 1 3 5 DP 202491 LOT 1 -2 DP 23610 LOT 2 DP 184553 LOT 1 0DP 204353ALLOT 2 4  5 SEC II ALLOT 13 SEC III ALLOT 6 ALLOT,"5,000",installation of a solid fuel heater
66500,,Waikato,22/04/15,Wk1218/15,128 Pond Road Te Mata  Waikato,128 Pond Road,Te Mata,,LOT 1 DP 317235 BLK V KARIOI SD,"3,500",log fire
66501,,Waikato,22/04/15,Wk1153/15,1057 Highway 22 Tuakau  Waikato,1057 Highway 22,Tuakau,,LOT 1 DPS 38429,"3,500",replacement of solid wood fireplace
66502,,Waikato,22/04/15,Wk1225/15,128 Discombe Road Hautapu  Waikato,128 Discombe Road,Hautapu,,LOT 2  DPS 7307 LOT 3 DP 345254 LOT 2 DP 369868 BLK VIII HAM0ILTON SD SUBJ TO ESMTS,"3,000",replace existing log fire
66504,,Waikato,22/04/15,Wk1115/15,367A Wairamarama Onewhero Rd Tuakau  Waikato,367A Wairamarama Onewhero Rd,Tuakau,,LOT 3 DP 391525 LOT 2 DP 444454 SUBJ TO ESMTS,"3,000",installation of a solid fuel heater
66505,,Waikato,22/04/15,Wk1114/15,250 Hull Rd Waiuku  Waikato,250 Hull Rd,Waiuku,,LOT 2 DP 205884 SUBJ TO ESMT DP 474833,"3,000",installation of a solid fuel heater
66528,,Waikato,29/04/15,Wk1235/15,190 Russell Road Huntly  Waikato,190 Russell Road,Huntly,,LOT 4 DPS 6216,"1,500",installation of a wood burner
66545,,Waikato,4/05/15,Wk1256/15,1144 Tauwhare Road Tauwhare  Waikato,1144 Tauwhare Road,Tauwhare,,LOT 1 DPS 90714 BLK XIII MAUNGAKAWA SD -SUBJ TO ESMTS,"2,500",solid fuel heater
66555,,Waikato,5/05/15,Wk1236/15,1314 Wairamarama Onewhero Rd Tuakau  Waikato,1314 Wairamarama Onewhero Rd,Tuakau,,LOT 1 DP 433426 SUBJ TO ESMTS,"8,000",replace existing fireplace with a new wood burner
66556,,Waikato,5/05/15,Wk1254/15,865 Waikaretu Valley Rd Tuakau  Waikato,865 Waikaretu Valley Rd,Tuakau,,LOT 10 DPS 49687,"5,500",installation of woodfire
66557,,Waikato,5/05/15,Wk1255/15,117 Great South Rd Pokeno  Waikato,117 Great South Rd,Pokeno,,LOT 2 DP 30549,"4,500",installation of a wood fire
