id,add,statue
4661,"160 Chester Street East, Christchurch Central, Christchurch",Request timed out
4664,"43 Cowlishaw Street, Avonside, Christchurch",Request timed out
4666,"92 Wildberry Street, Woolston, Christchurch",Request timed out
4667,"65 Waratah Street, Avondale, Christchurch",Request timed out
4674,"15 Hampshire Street, Aranui, Christchurch",Request timed out
4691,"2/202 Sawyers Arms Road, Bishopdale, Christchurch",Request timed out
4700,"1/172 Colombo Street, Sydenham, Christchurch",Request timed out
4705,"2/2 Rima Lane, Hoon Hay, Christchurch",Request timed out
4715,"309 Locksley Avenue, Burwood, Christchurch",Request timed out
4726,"32 Mary McLean Place, Hillsborough, Christchurch",Request timed out
4741,"7 Berkshire Drive, Avonhead, Christchurch",Request timed out
4762,"57 Penruddock Rise, Westmorland, Christchurch",Request timed out
4768,"39 Bengal Drive, Cashmere, Christchurch",Request timed out
4777,"135 Caledonian Road, St Albans, Christchurch",Request timed out
4785,"80 Wildberry Street, Woolston, Christchurch",Request timed out
4789,"23 Lamorna Road, Parklands, Christchurch",Request timed out
4795,"10 Cradock Street, South New Brighton, Christchurch",Request timed out
4824,"18 Riwai Street, Templeton, Christchurch",Request timed out
4843,"7 Benmore Gardens, Harewood, Christchurch",Request timed out
4857,"31 Glenharrow Avenue, Avonhead, Christchurch",Request timed out
4866,"147 Maidstone Road, Ilam, Christchurch",Request timed out
4877,"12 Westmorland Place, Bishopdale, Christchurch",Request timed out
4878,"22 Reynolds Avenue, Bishopdale, Christchurch",Request timed out
4884,"2 Parlane Street, Addington, Christchurch",Request timed out
4887,"17 Salford Avenue, Redwood, Christchurch",Request timed out
4893,"216 Weston Road, St Albans, Christchurch",Request timed out
4896,"11 Rogers Street, Sydenham, Christchurch",Request timed out
4921,"33 Revelation Drive, Clifton, Christchurch",Request timed out
4925,"26/336 Lincoln Road, Addington, Christchurch",Request timed out
4936,"1/188 Blighs Road, Strowan, Christchurch",Request timed out
4976,"178 Withells Road, Avonhead, Christchurch",Request timed out
5161,"9 Wilding Street, Saint Martins, Christchurch",Request timed out
5162,"44 Quinns Road, Shirley, Christchurch",Request timed out
5210,"109BR Worcester Street, Christchurch Central, Christchurch",Request timed out
5259,"1/6 Croziers Road, St Albans, Christchurch",Request timed out
5375,"23 Coronation Street, Spreydon, Christchurch",Request timed out
5398,"14 Rebecca Avenue, Burwood, Christchurch",Request timed out
5438,"1/174B Grimseys Road, Redwood, Christchurch",Request timed out
5444,"4/126 Bishop Street, St Albans, Christchurch",Request timed out
5564,"2/10 Petrie Street, Richmond, Christchurch",Request timed out
5583,"18 Hawkswood Place, Avonhead, Christchurch",Request timed out
5598,"26 Herdman Street, Hoon Hay, Christchurch",Request timed out
5600,"49 Rowley Avenue, Hoon Hay, Christchurch",Request timed out
5629,"39 Cardrona Street, Avondale, Christchurch",Request timed out
5690,"2/103 St Albans Street, St Albans, Christchurch",Request timed out
5704,"22 Marshall Street, Woolston, Christchurch",Request timed out
5802,"18 Renfrew Street, Upper Riccarton, Christchurch",Request timed out
5826,"7 Warrington Street, Mairehau, Christchurch",Request timed out
5848,"123 Leaver Terrace, North New Brighton, Christchurch",Request timed out
5881,"17A Sewell Street, Linwood, Christchurch",Request timed out
5915,"6 Taunton Green, Papanui, Christchurch",Request timed out
5922,"34 Bamford Street, Woolston, Christchurch",Request timed out
5934,"4 Corsair Drive, Wigram, Christchurch",Request timed out
5948,"136 Kendal Avenue, Burnside, Christchurch",Request timed out
5949,"65 Brodie Street, Ilam, Christchurch",Request timed out
5960,"25 Reynolds Avenue, Bishopdale, Christchurch",Request timed out
5985,"25 Waimea Terrace, Beckenham, Christchurch",Request timed out
6001,"10 Mecca Place, Linwood, Christchurch",Request timed out
6004,"34 Marlow Road, Aranui, Christchurch",Request timed out
6006,"104 Shortland Street, Wainoni, Christchurch",Request timed out
6043,"10 Taunton Green, Papanui, Christchurch",Request timed out
6059,"22 Lowther Street, Sockburn, Christchurch",Request timed out
6067,"11 St Ives Street, Harewood, Christchurch",Request timed out
6069,"38 Balgay Street, Upper Riccarton, Christchurch",Request timed out
6070,"49 Rountree Street, Upper Riccarton, Christchurch",Request timed out
6074,"16 Barrowclough Street, Hoon Hay, Christchurch",Request timed out
6099,"12 Tasman Place, Burwood, Christchurch",Request timed out
6108,"12/14 Buffon Street, Waltham, Christchurch",Request timed out
6157,"30 Bay View Road, Moncks Bay, Christchurch",Request timed out
6158,"20 Cascade Place, Sumner, Christchurch",Request timed out
6177,"27 Banks Street, Templeton, Christchurch",Request timed out
6179,"34 Steele Street, Hornby, Christchurch",Request timed out
