id,address,boolean
1656,"36 Princes Street, Waimate",Request timed out
1657,"26 Studholme Settlement Road, Waimate",Request timed out
1658,"15 Manse Street, Waimate",Request timed out
1659,"16 Coronation Street, Waimate",Request timed out
1660,"1 Town Belt, Waimate",Request timed out
1662,"25 Coronation Street, Waimate",Request timed out
1664,"37 Belt Street, Waimate",Request timed out
1665,"41 Harris Street, Waimate",Request timed out
1673,"958 Waihaorunga Back Road, Elephant Hill",Request timed out
1674,"55 Dicksons Road, Waimate",Request timed out
1691,"15 Parsonage Road, Waimate",Request timed out
1692,"36 Parsonage Road, Waimate",Request timed out
1693,"8 Studholme Street, Waimate",Request timed out
1694,"729 Hakataramea Highway, Waimate",Request timed out
1701,"502 Homestead Road, Hakataramea Valley",Request timed out
1702,"506 Homestead Road, Hakataramea Valley",Request timed out
1703,"304 Waikakahi Valley Road, Ikawai",Request timed out
1704,"12 James Street, Waimate",Request timed out
1705,"62B Harris Street, Waimate",Request timed out
1706,"10B Kennedy Crescent, Waimate",Request timed out
1723,"49 Wilkin Street, Waimate",Request timed out
1724,"26 Alice Street, Morven",Request timed out
1732,"12 Manchesters Road, Waimate",Request timed out
1738,"78 Woolshed Valley Road, Otaio",Request timed out
1739,"423 Hillboro Road, Otaio",Request timed out
1740,"226 Lyall Road, Saint Andrews",Request timed out
1750,"4 Milford Street, Waimate",Request timed out
1758,"8 Mortimer Street, Waimate",Request timed out
1769,"27 Thackeray Street, Saint Andrews",Request timed out
1803,"3 Edward Street, Waimate",Request timed out
1805,"24 Waimate Highway, Saint Andrews",Request timed out
1806,"26 Hakataramea Highway, Waimate",Request timed out
1809,"7 Horgans Road, Waimate",Request timed out
1810,"36 Foleys Road, Waimate",Request timed out
1822,"4817 Hakataramea Highway, Station Peak",Request timed out
1832,"41 High Street, Waimate",Request timed out
1838,"1022 Waimate Hunter Road, Hunter",Request timed out
1839,"202 Lower Hook Road, Makikihi",Request timed out
1840,"9 Makikihi Beach Road, Makikihi",Request timed out
1850,"43 Kennards Road, Waimate",Request timed out
1862,"85 Shearman Street, Waimate",Request timed out
1869,"114 Cochranes Road, Hakataramea Valley",Request timed out
1870,"409 Milne Road, Hakataramea, Kurow",Request timed out
